,NO_IES,SG_IES,NO_MANTENEDORA,TP_CAT_ADM_NAME,TP_ORG_ACAD_NAME,NU_ANO_CENSO,QT_CARGA_HORARIA_TOTAL,QT_VAGA_TOTAL,QT_INSCRITO_TOTAL,TOTAL_ALUNOS,ALUNOS_TRANSF,CO_LOCAL_OFERTA,UF,MUNICIPIO,IN_CAPITAL,NO_CURSO,IN_GRATUITO,DT_INICIO_FUNCIONAMENTO,DT_AUTORIZACAO_CURSO,IN_OFERECE_DISC_SEMI_PRES,NU_PERC_CARGA_SEMI_PRES,IN_INGRESSO_VESTIBULAR,IN_INGRESSO_ENEM,IN_INGRESSO_AVALIACAO_SERIADA,IN_INGRESSO_SELECAO_SIMPLIFICA,IN_INGRESSO_OUTRO_TIPO_SELECAO,IN_INGRESSO_VAGA_REMANESC,IN_INGRESSO_VAGA_PROG_ESPECIAL,IN_INGRESSO_TRANSF_EXOFFICIO,IN_INGRESSO_DECISAO_JUDICIAL,IN_INGRESSO_CONVENIO_PECG,IN_INGRESSO_EGRESSO,IN_INGRESSO_OUTRA_FORMA,IN_RESERVA_VAGAS,IN_RESERVA_ETNICO,IN_RESERVA_DEFICIENCIA,IN_RESERVA_ENSINO_PUBLICO,IN_RESERVA_RENDA_FAMILIAR,IN_RESERVA_OUTRA,IN_FINANCIAMENTO_ESTUDANTIL,IN_FIN_REEMB_FIES,IN_FIN_REEMB_ESTADUAL,IN_FIN_REEMB_MUNICIPAL,IN_FIN_REEMB_PROG_IES,IN_FIN_REEMB_ENT_EXTERNA,IN_FIN_REEMB_OUTRA,IN_FIN_NAOREEMB_PROUNI_INTEGR,IN_FIN_NAOREEMB_PROUNI_PARCIAL,IN_FIN_NAOREEMB_ESTADUAL,IN_FIN_NAOREEMB_MUNICIPAL,IN_FIN_NAOREEMB_PROG_IES,IN_FIN_NAOREEMB_ENT_EXTERNA,IN_FIN_NAOREEMB_OUTRA,IN_ATIVIDADE_EXTRACURRICULAR,IN_COMPLEMENTAR_ESTAGIO,IN_COMPLEMENTAR_EXTENSAO,IN_COMPLEMENTAR_MONITORIA,IN_COMPLEMENTAR_PESQUISA,IN_BOLSA_ESTAGIO,IN_BOLSA_EXTENSAO,IN_BOLSA_MONITORIA,IN_BOLSA_PESQUISA,IN_MOBILIDADE_ACADEMICA,IN_MATRICULA,IN_CONCLUINTE,IN_INGRESSO_TOTAL,QT_INSC_VAGA_NOVA_INTEGRAL,QT_INSC_VAGA_REMAN_INTEGRAL,QT_INSC_PROG_ESP_INTEGRAL,QT_VAGAS_NOVAS_INTEGRAL,QT_VAGAS_REMAN_INTEGRAL,QT_VAGAS_PROG_ESP_INTEGRAL,QT_INGRESSO_TOTAL,QT_INGRESSO_VAGA_NOVA,QT_MATRICULA_TOTAL,QT_CONCLUINTE_TOTAL,CO_MANTENEDORA,CO_IES,CO_CURSO,CO_UF,CO_MUNICIPIO
68,UNIVERSIDADE ANHEMBI MORUMBI,UAM,ISCP - SOCIEDADE EDUCACIONAL LTDA.,Privada com fins lucrativos,Universidade,2018,8520,286,7038,1059,0,2503.0,São Paulo,São Paulo,1.0,MEDICINA,0,02/01/2008,,1.0,18.0,935,117,0,0,0.0,7,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,407.0,339.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059,196,203,6988.0,50.0,0.0,236.0,50.0,0.0,256,224,1059,196,321,466,100956,35.0,3550308.0
69,CENTRO UNIVERSITÁRIO SÃO CAMILO,SAO CAMILO,UNIAO SOCIAL CAMILIANA,Privada sem fins lucrativos,Centro Universitário,2018,10420,212,3430,748,0,658065.0,São Paulo,São Paulo,1.0,MEDICINA,0,02/08/2007,,0.0,,667,60,0,0,0.0,21,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,134.0,60.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,15.0,0.0,0.0,241,12.0,228.0,15.0,43.0,0.0,0.0,11.0,2.0,1.0,748,87,193,3421.0,9.0,0.0,198.0,14.0,0.0,196,194,748,87,497,737,100958,35.0,3550308.0
70,FACULDADE SANTA MARCELINA,FASM,ASSOCIACAO SANTA MARCELINA,Privada sem fins lucrativos,Faculdade,2018,8103,187,4160,746,0,1330.0,São Paulo,São Paulo,1.0,MEDICINA,0,01/08/2012,,0.0,,736,0,0,0,0.0,10,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,188.0,86.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746,96,117,4130.0,30.0,0.0,183.0,4.0,0.0,119,119,746,96,303,434,1136509,35.0,3550308.0
71,Centro Universitário das Américas,CAM,SOCIEDADE EDUCACIONAL DAS AMERICAS LTDA,Privada com fins lucrativos,Centro Universitário,2018,7670,328,280,490,0,1055967.0,São Paulo,São Paulo,1.0,MEDICINA,0,23/07/2014,,0.0,,421,69,0,10,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,150.0,132.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,106,0.0,106.0,0.0,106.0,0.0,0.0,0.0,106.0,0.0,490,0,123,260.0,20.0,0.0,130.0,198.0,0.0,167,167,490,0,862,1294,1190280,35.0,3550308.0
72,UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL,USCS,UNIVERSIDADE MUNICIPAL DE SAO CAETANO DO SUL,Pública Municipal,Universidade,2018,7476,120,1134,99,1,1076019.0,São Paulo,São Paulo,1.0,MEDICINA,1,01/03/2016,,0.0,,99,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,0,7,1134.0,0.0,0.0,120.0,0.0,0.0,7,7,99,0,394,605,1349675,35.0,3550308.0
73,Faculdade Israelita de Ciências da Saúde Albert Einstein,FICSAE,SOCIEDADE BENEF ISRAELITABRAS HOSPITAL ALBERT EINSTEIN,Privada sem fins lucrativos,Faculdade,2018,8600,107,5878,294,0,658103.0,São Paulo,São Paulo,1.0,MEDICINA,0,17/02/2016,,0.0,,293,0,0,0,0.0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,140,0.0,0.0,70.0,106.0,0.0,0.0,0.0,14.0,0.0,294,0,99,5702.0,176.0,0.0,100.0,7.0,0.0,99,99,294,0,542,790,1317634,35.0,3550308.0
74,UNIVERSIDADE DE SÃO PAULO,USP,UNIVERSIDADE DE SAO PAULO,Pública Estadual,Universidade,2018,1050,60,5408,59,2,1301.0,São Paulo,Bauru,0.0,MEDICINA,1,,,0.0,,59,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,0,59,5408.0,0.0,0.0,60.0,0.0,0.0,59,59,59,0,15715,55,1404416,35.0,3506003.0
75,UNIVERSIDADE NOVE DE JULHO,UNINOVE,ASSOCIACAO EDUCACIONAL NOVE DE JULHO,Privada sem fins lucrativos,Universidade,2018,8434,240,586,263,2,1081874.0,São Paulo,Bauru,0.0,MEDICINA,0,16/01/2018,,0.0,,246,4,0,3,0.0,13,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,43.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,263,0.0,263.0,27.0,0.0,0.0,263.0,0.0,0.0,0.0,263,0,187,378.0,208.0,0.0,180.0,60.0,0.0,193,180,263,0,222,316,1399478,35.0,3506003.0
76,UNIVERSIDADE DE SÃO PAULO,USP,UNIVERSIDADE DE SAO PAULO,Pública Estadual,Universidade,2018,9585,107,107,602,96,1078743.0,São Paulo,Ribeirão Preto,0.0,MEDICINA,1,17/04/1952,,0.0,,401,0,0,0,0.0,200,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602,116,6,,107.0,0.0,,107.0,0.0,6,0,602,116,15715,55,5000841,35.0,3543402.0
77,UNIVERSIDADE DE RIBEIRÃO PRETO,UNAERP,ASSOCIACAO DE ENSINO DE RIBEIRAO PRETO,Privada sem fins lucrativos,Universidade,2018,7455,194,3339,923,0,692496.0,São Paulo,Ribeirão Preto,0.0,MEDICINA,0,05/05/1997,,0.0,,832,9,0,0,0.0,82,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,644.0,169.0,0.0,0.0,0.0,39.0,0.0,98.0,0.0,459.0,0.0,27.0,0.0,0.0,746,318.0,511.0,35.0,36.0,7.0,0.0,22.0,15.0,10.0,923,121,176,3085.0,254.0,0.0,169.0,25.0,0.0,185,163,923,121,147,208,18447,35.0,3543402.0
78,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,CBM,ORGANIZACAO EDUCACIONAL BARAO DE MAUA,Privada sem fins lucrativos,Centro Universitário,2018,7133,147,2032,572,0,657741.0,São Paulo,Ribeirão Preto,0.0,MEDICINA,0,01/06/1999,,0.0,,461,64,0,0,0.0,47,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,108.0,60.0,0.0,0.0,2.0,0.0,0.0,25.0,36.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572,62,127,2003.0,29.0,0.0,137.0,10.0,0.0,129,127,572,62,98,138,19850,35.0,3543402.0
79,CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO,ESTÁCIO RIBEIRÃO PRE,SOCIEDADE DE ENSINO SUPERIOR ESTACIO RIBEIRAO PRETO LTDA,Privada com fins lucrativos,Centro Universitário,2018,8270,585,1910,365,0,658363.0,São Paulo,Ribeirão Preto,0.0,MEDICINA,0,23/07/2014,,0.0,,322,0,0,0,0.0,43,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,157.0,133.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,4.0,0.0,0.0,68,0.0,68.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,365,0,89,1883.0,27.0,0.0,76.0,509.0,0.0,94,75,365,0,848,1270,1185903,35.0,3543402.0
80,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO,Pública Estadual,Universidade,2018,9854,93,28161,554,0,729.0,São Paulo,Botucatu,0.0,MEDICINA,1,22/04/1963,,0.0,,535,0,0,0,0.0,14,0,0,0,5,0,0.0,150,28.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,0.0,16.0,2.0,66.0,0.0,16.0,2.0,66.0,18.0,554,94,94,27698.0,463.0,0.0,90.0,3.0,0.0,94,90,554,94,17109,56,3148,35.0,3507506.0
81,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,SECRET DE EST CIENCIA TECNOLOGIA E ENSINO SUPERIOR SETI,Pública Estadual,Universidade,2018,9872,41,9367,249,0,657707.0,Paraná,Maringá,0.0,MEDICINA,1,15/08/1988,,0.0,,193,0,50,2,0.0,4,0,0,0,0,0,0.0,34,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222,0.0,220.0,28.0,44.0,0.0,0.0,7.0,26.0,0.0,249,48,41,9366.0,1.0,0.0,40.0,1.0,0.0,41,40,249,48,37,57,3418,41.0,4115200.0
82,CENTRO UNIVERSITÁRIO DE MARINGÁ - UNICESUMAR,UNICESUMAR,CESUMAR - CENTRO DE ENSINO SUPERIOR DE MARINGA LTDA,Privada com fins lucrativos,Centro Universitário,2018,8289,398,6818,1167,0,658314.0,Paraná,Maringá,0.0,MEDICINA,0,18/11/2011,,0.0,,952,166,0,1,0.0,48,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,498.0,428.0,0.0,0.0,0.0,0.0,0.0,70.0,14.0,0.0,0.0,0.0,0.0,0.0,1167,1.0,1167.0,73.0,180.0,1.0,0.0,0.0,37.0,0.0,1167,102,395,6502.0,316.0,0.0,371.0,27.0,0.0,397,370,1167,102,560,1196,5000930,41.0,4115200.0
83,CENTRO UNIVERSITÁRIO INGÁ,,UNINGA - UNIDADE DE ENSINO SUPERIOR INGA LTDA,Privada sem fins lucrativos,Centro Universitário,2018,8480,120,111,665,0,1036351.0,Paraná,Maringá,0.0,MEDICINA,0,01/02/2007,,0.0,,663,0,0,0,0.0,0,0,0,2,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,108.0,76.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,665,64,102,103.0,0.0,8.0,100.0,10.0,10.0,103,103,665,64,945,1430,5000931,41.0,4115200.0
84,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,FUNDACAO UNIVERSIDADE REGIONAL DE BLUMENAU,Pública Municipal,Universidade,2018,9828,90,1846,516,0,1041245.0,Santa Catarina,Blumenau,0.0,MEDICINA,0,05/03/1990,,0.0,,476,10,0,2,0.0,27,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,11.0,0.0,0.0,12,0.0,2.0,5.0,5.0,0.0,2.0,5.0,5.0,0.0,516,73,85,1812.0,34.0,0.0,80.0,10.0,0.0,87,80,516,73,60,76,3677,42.0,4202404.0
85,FACULDADE DE MEDICINA DE JUNDIAÍ,FMJ,PREFEITURA DO MUNICIPIO DE JUNDIAI,Pública Municipal,Faculdade,2018,10310,120,4347,586,0,657730.0,São Paulo,Jundiaí,0.0,MEDICINA,0,24/03/1969,,0.0,,561,0,0,0,0.0,25,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,0.0,0.0,82.0,29.0,0.0,0.0,56.0,16.0,0.0,586,69,120,4347.0,0.0,0.0,120.0,0.0,0.0,120,120,586,69,74,93,4082,35.0,3525904.0
86,UNIVERSIDADE DE VASSOURAS,,FUNDACAO EDUCACIONAL SEVERINO SOMBRA,Privada sem fins lucrativos,Universidade,2018,8676,196,1736,1007,0,28198.0,Rio de Janeiro,Vassouras,0.0,MEDICINA,0,01/07/1969,,0.0,,777,124,0,0,0.0,106,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,474.0,338.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,45.0,0.0,0.0,101,0.0,0.0,0.0,101.0,0.0,0.0,0.0,22.0,0.0,1007,116,206,1700.0,36.0,0.0,160.0,36.0,0.0,245,209,1007,116,100,140,4503,33.0,3306206.0
87,FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO,FAMERP,ESTADO DE SAO PAULO,Pública Estadual,Faculdade,2018,8029,81,17177,469,0,657750.0,São Paulo,São José do Rio Preto,0.0,MEDICINA,1,14/02/1968,,0.0,,459,0,0,0,0.0,10,0,0,0,0,0,0.0,35,12.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,11.0,52.0,0.0,57.0,0.0,0.0,0.0,56.0,0.0,469,66,80,16984.0,193.0,0.0,80.0,1.0,0.0,81,80,469,66,46,149,4720,35.0,3549805.0
88,UNIÃO DAS FACULDADES DOS GRANDES LAGOS,UNILAGO,ASSOCIACAO EDUCACIONAL DE ENSINO SUPERIOR,Privada sem fins lucrativos,Faculdade,2018,7280,100,250,785,0,658218.0,São Paulo,São José do Rio Preto,0.0,MEDICINA,0,20/08/2012,,0.0,,783,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,262.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785,116,197,250.0,0.0,0.0,100.0,0.0,0.0,202,202,785,116,555,1046,5000980,35.0,3549805.0
89,FACULDADE CERES,FACERES,ANBAR ENSINO TECNICO E SUPERIOR LTDA,Privada com fins lucrativos,Faculdade,2018,9700,155,205,723,0,659541.0,São Paulo,São José do Rio Preto,0.0,MEDICINA,0,13/08/2012,,0.0,,633,0,0,0,0.0,90,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723,113,134,170.0,35.0,0.0,120.0,35.0,0.0,169,158,723,113,1533,3533,5000981,35.0,3549805.0
90,UNIVERSIDADE DO VALE DO SAPUCAÍ,UNIVÁS,FUNDACAO DE ENSINO SUPERIOR DO VALE DO SAPUCAI,Privada sem fins lucrativos,Universidade,2018,7840,95,2339,476,0,1050115.0,Minas Gerais,Pouso Alegre,0.0,MEDICINA,0,03/03/1969,,0.0,,65,399,0,0,0.0,12,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,216.0,106.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,149.0,0.0,0.0,43,0.0,0.0,0.0,43.0,0.0,0.0,0.0,30.0,0.0,476,65,89,2328.0,11.0,0.0,84.0,11.0,0.0,89,78,476,65,127,1586,5206,31.0,3152501.0
91,ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDAÇÃO TÉCNICO-EDUCACIONAL SOUZA MARQUES,EMSM,FUNDACAO TECNICO EDUCACIONAL SOUZA MARQUES,Privada sem fins lucrativos,Faculdade,2018,9680,222,820,1053,0,657767.0,Rio de Janeiro,Rio de Janeiro,1.0,MEDICINA,0,15/05/1971,,0.0,,960,3,0,0,0.0,88,0,0,2,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,424.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,419.0,0.0,0.0,1053,0.0,973.0,80.0,0.0,0.0,1.0,73.0,0.0,0.0,1053,166,194,792.0,28.0,0.0,192.0,30.0,0.0,215,192,1053,166,135,190,5345,33.0,3304557.0
92,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,Pública Estadual,Universidade,2018,9759,105,8037,697,0,657964.0,Rio de Janeiro,Rio de Janeiro,1.0,MEDICINA,1,16/02/1936,,0.0,,695,0,0,0,0.0,0,0,2,0,0,0,0.0,314,139.0,18.0,141.0,314.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697,189,100,8037.0,0.0,0.0,105.0,0.0,0.0,105,105,697,189,379,547,11316,33.0,3304557.0
93,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,Pública Federal,Universidade,2018,8550,217,14415,1302,9,657978.0,Rio de Janeiro,Rio de Janeiro,1.0,MEDICINA,1,05/11/1808,,0.0,,1225,19,0,0,0.0,32,1,12,0,13,0,0.0,571,284.0,0.0,571.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126,0.0,0.0,124.0,2.0,0.0,0.0,124.0,2.0,0.0,1302,198,215,13983.0,432.0,0.0,200.0,17.0,0.0,221,200,1302,198,15536,586,14359,33.0,3304557.0
94,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,Pública Federal,Universidade,2018,8145,183,8103,963,1,1038192.0,Rio de Janeiro,Rio de Janeiro,1.0,MEDICINA,1,10/04/1912,,0.0,,2,840,0,0,0.0,94,0,7,7,13,0,0.0,265,115.0,0.0,76.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435,0.0,95.0,384.0,140.0,0.0,55.0,199.0,108.0,0.0,963,145,157,7803.0,292.0,8.0,160.0,21.0,2.0,180,158,963,145,461,693,15783,33.0,3304557.0
95,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA,Privada com fins lucrativos,Universidade,2018,8299,1848,3534,1631,2,431.0,Rio de Janeiro,Rio de Janeiro,1.0,MEDICINA,0,30/04/1997,,1.0,20.0,1402,0,0,0,0.0,229,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,732.0,574.0,0.0,0.0,1.0,1.0,0.0,114.0,0.0,0.0,0.0,101.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1631,232,307,3433.0,101.0,0.0,240.0,1608.0,0.0,320,247,1631,232,119,163,18594,33.0,3304557.0
96,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA,Privada com fins lucrativos,Universidade,2018,8270,1309,1377,789,6,705998.0,Rio de Janeiro,Rio de Janeiro,1.0,MEDICINA,0,27/02/2014,,0.0,,429,0,0,0,0.0,360,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,370.0,224.0,0.0,0.0,1.0,0.0,0.0,39.0,0.0,0.0,0.0,226.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789,154,218,1265.0,112.0,0.0,170.0,1139.0,0.0,238,169,789,154,119,163,5001183,33.0,3304557.0
97,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,UNIGRANRIO,COMPANHIA NILZA CORDEIRO HERDY DE EDUCACAO E CULTURA,Privada com fins lucrativos,Universidade,2018,8820,122,995,712,3,3061.0,Rio de Janeiro,Rio de Janeiro,1.0,MEDICINA,0,08/08/2007,,1.0,20.0,616,40,0,0,0.0,56,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,496,474.0,0.0,69.0,9.0,43.0,0.0,0.0,0.0,0.0,712,93,116,985.0,10.0,0.0,112.0,10.0,0.0,120,110,712,93,326,472,75821,33.0,3304557.0
98,FACULDADE DE MEDICINA DO ABC,FMABC,FUNDACAO DO ABC,Privada sem fins lucrativos,Faculdade,2018,10440,160,160,740,0,1052336.0,São Paulo,Santo André,0.0,MEDICINA,0,03/03/1969,,0.0,,665,75,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,194.0,123.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,10.0,0.0,0.0,42,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,740,114,124,150.0,10.0,0.0,150.0,10.0,0.0,127,127,740,114,162,224,5909,35.0,3547809.0
99,CENTRO UNIVERSITÁRIO LUSÍADA,UNILUS,FUNDACAO LUSIADA,Privada sem fins lucrativos,Centro Universitário,2018,7730,110,1491,652,0,686387.0,São Paulo,Santos,0.0,MEDICINA,0,08/09/1967,,0.0,,568,63,0,0,0.0,21,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,44.0,0.0,0.0,19,0.0,19.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,652,83,118,1482.0,9.0,0.0,100.0,10.0,0.0,124,115,652,83,164,226,5920,35.0,3548500.0
100,UNIVERSIDADE METROPOLITANA DE SANTOS,UNIMES,CENTRO DE ESTUDOS UNIFICADOS BANDEIRANTE,Privada sem fins lucrativos,Universidade,2018,8840,133,1188,608,0,688113.0,São Paulo,Santos,0.0,MEDICINA,0,01/02/1998,,0.0,,518,0,0,11,0.0,79,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608,84,122,1104.0,84.0,0.0,100.0,33.0,0.0,122,100,608,84,677,953,19206,35.0,3548500.0
101,UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,ASSOCIACAO PRUDENTINA DE EDUCACAO E CULTURA APEC,Privada sem fins lucrativos,Universidade,2018,8898,240,1593,1696,0,657815.0,São Paulo,Presidente Prudente,0.0,MEDICINA,0,08/02/1988,,0.0,,1404,222,0,0,0.0,70,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1190.0,860.0,0.0,0.0,47.0,0.0,0.0,153.0,0.0,0.0,0.0,182.0,0.0,0.0,233,12.0,225.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1696,240,274,1573.0,20.0,0.0,220.0,20.0,0.0,280,261,1696,240,194,271,6496,35.0,3541406.0
102,UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,ASSOCIACAO PRUDENTINA DE EDUCACAO E CULTURA APEC,Privada sem fins lucrativos,Universidade,2018,8440,55,530,68,0,1082293.0,São Paulo,Jaú,0.0,MEDICINA,0,,,0.0,,68,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,8,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,0,68,530.0,0.0,0.0,55.0,0.0,0.0,68,68,68,0,194,271,1408262,35.0,3525300.0
103,FACULDADE DE MEDICINA DE ITAJUBÁ,FMIT,CENTRO DE CIENCIAS EM SAUDE DE ITAJUBA S.A,Privada sem fins lucrativos,Faculdade,2018,7571,107,1821,522,0,686511.0,Minas Gerais,Itajubá,0.0,MEDICINA,0,01/04/1968,,0.0,,8,453,0,0,0.0,61,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,145.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,9.0,0.0,516,28.0,516.0,47.0,40.0,0.0,0.0,0.0,40.0,0.0,522,83,107,1803.0,18.0,0.0,89.0,18.0,0.0,107,89,522,83,17157,284,6711,31.0,3132404.0
